Sample in Buffer,Sample in Window,TRIGGER,dbg_txdata[31:0],dbg_txdatak[3:0],debug_state[20:0],dbg_rxstatus[2:0],dbg_rxdata[31:0],dbg_rxdatak[3:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/ordered_set_sent_cnt_r[15:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/gen_cnt_ts1[0].ts1_cnt[7:0],pcie_phy_top_inst/phy_receive_inst/gen_lane_descramble[0].ordered_set_handler_inst/curr_state[7:0],pipe_wrapper_i/rxvalid_cnt[4:0],dbg_phystatus,dbg_rxelecidle,dbg_txdetectrx,dbg_txelecidle,pipe_wrapper_i/gt_rxvalid,pcie_phy_top_inst/pcie_ltssm_downstream_inst/link_idle_satisfied,link_up,pipe_wrapper_i/rst_idle_reg,pcie_phy_top_inst/pcie_ltssm_downstream_inst/single_idle_received,pcie_phy_top_inst/ordered_set_tranmitted
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
10136,10136,0,00004545,0,000042,0,00005eff,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10137,10137,0,00004545,0,000042,0,00004a00,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10138,10138,0,00004545,0,000042,0,00004a4a,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10139,10139,0,00004545,0,000042,0,00004a4a,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10140,10140,0,0000f7bc,3,000042,0,00004a4a,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10141,10141,0,0000fff7,1,000042,0,00004a4a,0,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10142,10142,0,00000002,0,000042,0,0000bc4a,2,422a,00,01,10,0,0,0,0,1,0,0,1,0,0
10143,10143,0,00004545,0,000042,0,0000f7f7,3,422a,00,01,10,0,0,0,0,1,0,0,1,0,1
10144,10144,0,00004545,0,000042,0,00005eff,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10145,10145,0,00004545,0,000042,0,00004a00,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10146,10146,0,00004545,0,000042,0,00004a4a,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10147,10147,0,00004545,0,000042,0,00004a4a,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10148,10148,0,0000f7bc,3,000042,0,00004a4a,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10149,10149,0,0000fff7,1,000042,0,00004a4a,0,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10150,10150,0,00000002,0,000042,0,0000bc4a,2,422b,00,01,10,0,0,0,0,1,0,0,1,0,0
10151,10151,0,00004545,0,000042,0,0000f7f7,3,422b,00,01,10,0,0,0,0,1,0,0,1,0,1
10152,10152,0,00004545,0,000042,0,00005eff,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10153,10153,0,00004545,0,000042,0,00004a00,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10154,10154,0,00004545,0,000042,0,00004a4a,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10155,10155,0,00004545,0,000042,0,00004a4a,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10156,10156,0,0000f7bc,3,000042,0,00004a4a,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10157,10157,0,0000fff7,1,000042,0,00004a4a,0,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10158,10158,0,00000002,0,000042,0,0000bc4a,2,422c,00,01,10,0,0,0,0,1,0,0,1,0,0
10159,10159,0,00004545,0,000042,0,0000f7f7,3,422c,00,01,10,0,0,0,0,1,0,0,1,0,1
10160,10160,0,00004545,0,000042,0,00005eff,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10161,10161,0,00004545,0,000042,0,00004a00,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10162,10162,0,00004545,0,000042,0,00004a4a,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10163,10163,0,00004545,0,000042,0,00004a4a,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10164,10164,0,0000f7bc,3,000042,0,00004a4a,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10165,10165,0,0000fff7,1,000042,0,00004a4a,0,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10166,10166,0,00000002,0,000042,0,0000bc4a,2,422d,00,01,10,0,0,0,0,1,0,0,1,0,0
10167,10167,0,00004545,0,000042,0,0000f7f7,3,422d,00,01,10,0,0,0,0,1,0,0,1,0,1
10168,10168,0,00004545,0,000042,0,00005eff,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10169,10169,0,00004545,0,000042,0,00004a00,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10170,10170,0,00004545,0,000042,0,00004a4a,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10171,10171,0,00004545,0,000042,0,00004a4a,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10172,10172,0,0000f7bc,3,000042,0,00004a4a,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10173,10173,0,0000fff7,1,000042,0,00004a4a,0,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10174,10174,0,00000002,0,000042,0,0000bc4a,2,422e,00,01,10,0,0,0,0,1,0,0,1,0,0
10175,10175,0,00004545,0,000042,0,0000f7f7,3,422e,00,01,10,0,0,0,0,1,0,0,1,0,1
10176,10176,0,00004545,0,000042,0,00005eff,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10177,10177,0,00004545,0,000042,0,00004a00,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10178,10178,0,00004545,0,000042,0,00004a4a,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10179,10179,0,00004545,0,000042,0,00004a4a,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10180,10180,0,0000f7bc,3,000042,0,00004a4a,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10181,10181,0,0000fff7,1,000042,0,00004a4a,0,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10182,10182,0,00000002,0,000042,0,0000bc4a,2,422f,00,01,10,0,0,0,0,1,0,0,1,0,0
10183,10183,0,00004545,0,000042,0,0000f7f7,3,422f,00,01,10,0,0,0,0,1,0,0,1,0,1
10184,10184,0,00004545,0,000042,0,00005eff,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10185,10185,0,00004545,0,000042,0,00004a00,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10186,10186,0,00004545,0,000042,0,00004a4a,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10187,10187,0,00004545,0,000042,0,00004a4a,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10188,10188,0,0000f7bc,3,000042,0,00004a4a,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10189,10189,0,0000fff7,1,000042,0,00004a4a,0,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10190,10190,0,00000002,0,000042,0,0000bc4a,2,4230,00,01,10,0,0,0,0,1,0,0,1,0,0
10191,10191,0,00004545,0,000042,0,0000f7f7,3,4230,00,01,10,0,0,0,0,1,0,0,1,0,1
10192,10192,0,00004545,0,000042,0,00005eff,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10193,10193,0,00004545,0,000042,0,00004a00,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10194,10194,0,00004545,0,000042,0,00004a4a,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10195,10195,0,00004545,0,000042,0,00004a4a,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10196,10196,0,0000f7bc,3,000042,0,00004a4a,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10197,10197,0,0000fff7,1,000042,0,00004a4a,0,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10198,10198,0,00000002,0,000042,0,0000bc4a,2,4231,00,01,10,0,0,0,0,1,0,0,1,0,0
10199,10199,0,00004545,0,000042,0,0000f7f7,3,4231,00,01,10,0,0,0,0,1,0,0,1,0,1
10200,10200,0,00004545,0,000042,0,00005eff,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10201,10201,0,00004545,0,000042,0,00004a00,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10202,10202,0,00004545,0,000042,0,00004a4a,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10203,10203,0,00004545,0,000042,0,00004a4a,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10204,10204,0,0000f7bc,3,000042,0,00004a4a,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10205,10205,0,0000fff7,1,000042,0,00004a4a,0,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10206,10206,0,00000002,0,000042,0,0000bc4a,2,4232,00,01,10,0,0,0,0,1,0,0,1,0,0
10207,10207,0,00004545,0,000042,0,0000f7f7,3,4232,00,01,10,0,0,0,0,1,0,0,1,0,1
10208,10208,0,00004545,0,000042,0,00005eff,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10209,10209,0,00004545,0,000042,0,00004a00,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10210,10210,0,00004545,0,000042,0,00004a4a,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10211,10211,0,00004545,0,000042,0,00004a4a,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10212,10212,0,0000f7bc,3,000042,0,00004a4a,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10213,10213,0,0000fff7,1,000042,0,00004a4a,0,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10214,10214,0,00000002,0,000042,0,0000bc4a,2,4233,00,01,10,0,0,0,0,1,0,0,1,0,0
10215,10215,0,00004545,0,000042,0,0000f7f7,3,4233,00,01,10,0,0,0,0,1,0,0,1,0,1
10216,10216,0,00004545,0,000042,0,00005eff,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10217,10217,0,00004545,0,000042,0,00004a00,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10218,10218,0,00004545,0,000042,0,00004a4a,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10219,10219,0,00004545,0,000042,0,00004a4a,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10220,10220,0,0000f7bc,3,000042,0,00004a4a,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10221,10221,0,0000fff7,1,000042,0,00004a4a,0,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10222,10222,0,00000002,0,000042,0,0000bc4a,2,4234,00,01,10,0,0,0,0,1,0,0,1,0,0
10223,10223,0,00004545,0,000042,0,0000f7f7,3,4234,00,01,10,0,0,0,0,1,0,0,1,0,1
10224,10224,0,00004545,0,000042,0,00005eff,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10225,10225,0,00004545,0,000042,0,00004a00,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10226,10226,0,00004545,0,000042,0,00004a4a,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10227,10227,0,00004545,0,000042,0,00004a4a,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10228,10228,0,0000f7bc,3,000042,0,00004a4a,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10229,10229,0,0000fff7,1,000042,0,00004a4a,0,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10230,10230,0,00000002,0,000042,0,0000bc4a,2,4235,00,01,10,0,0,0,0,1,0,0,1,0,0
10231,10231,0,00004545,0,000042,0,0000f7f7,3,4235,00,01,10,0,0,0,0,1,0,0,1,0,1
